TF,TF_id,gene,gene_id,effect,evidence,ev_level
nhaR,b0020,nhaA,b0019,+,"[BCE, BPP, GEA]",1
nhaR,b0020,nhaR,b0020,+,"[BCE, BPP, GEA]",1
nhaR,b0020,pgaD,b1021,+,"[BPP, GEA, HIBSCS]",2
nhaR,b0020,pgaC,b1022,+,"[BPP, GEA, HIBSCS]",2
nhaR,b0020,pgaB,b1023,+,"[BPP, GEA, HIBSCS]",2
nhaR,b0020,pgaA,b1024,+,"[BPP, GEA, HIBSCS]",2
nhaR,b0020,osmC,b1482,+,"[BCE, GEA, SM]",1
caiF,b0034,caiE,b0035,+,"[BPP, GEA, HIBSCS]",2
caiF,b0034,caiD,b0036,+,"[BPP, GEA, HIBSCS]",2
caiF,b0034,caiC,b0037,+,"[BPP, GEA, HIBSCS]",2
caiF,b0034,caiB,b0038,+,"[BPP, GEA, HIBSCS]",2
caiF,b0034,caiA,b0039,+,"[BPP, GEA, HIBSCS]",2
caiF,b0034,caiT,b0040,+,"[BPP, GEA, HIBSCS]",2
caiF,b0034,fixA,b0041,+,"[BPP, GEA, HIBSCS]",2
caiF,b0034,fixB,b0042,+,"[BPP, GEA, HIBSCS]",2
caiF,b0034,fixC,b0043,+,"[BPP, GEA, HIBSCS]",2
caiF,b0034,fixX,b0044,+,"[BPP, GEA, HIBSCS]",2
araC,b0064,araD,b0061,+,"[BPP, GEA, HIBSCS, SM, BCE]",2
araC,b0064,araA,b0062,+,"[BPP, GEA, HIBSCS, SM, BCE]",2
araC,b0064,araB,b0063,+,"[BPP, GEA, HIBSCS, SM, BCE]",2
araC,b0064,araC,b0064,+,"[BPP, GEA, HIBSCS, SM, BCE]",2
araC,b0064,araJ,b0396,+,"[AIBSCS, BPP, HIBSCS]",1
araC,b0064,ydeM,b1497,-,[GEA],1
araC,b0064,ydeN,b1498,-,[GEA],1
araC,b0064,araG,b1900,+,"[AIBSCS, BPP, HIBSCS, SM]",1
araC,b0064,araF,b1901,+,"[AIBSCS, BPP, HIBSCS, SM]",1
araC,b0064,araE,b2841,+,"[BPP, HIBSCS]",2
araC,b0064,ygeA,b2840,+,"[BPP, HIBSCS]",2
araC,b0064,xylB,b3564,-,"[BCE, GEA, HIBSCS]",1
araC,b0064,xylA,b3565,-,"[BCE, GEA, HIBSCS]",1
araC,b0064,araH,b4460,+,"[AIBSCS, BPP, HIBSCS, SM]",1
sgrR,b0069,sroA,G0-9381,-,"[BPP, GEA, HIBSCS, SM]",2
